کشتی,سرگشته 0.5
وداع,وداع 0.5
دستار,برو 0.3333333333333333
<s>,طبیبان 0.003436426116838488
و,برگ 0.007194244604316547
گوید,یعقوب 0.07692307692307693
لوبیا,</s> 1.0
ابریق,پرمی 1.0
سر,سر 0.047619047619047616
و,افتخار 0.007194244604316547
پیشین,تا 1.0
که,خوش 0.007142857142857143
عجب,دوش 0.3333333333333333
حال,ابتدا 0.16666666666666666
آتش,چه 0.16666666666666666
<s>,کودک 0.003436426116838488
کجا,هات 0.5
شهد,بی 1.0
سلیم,پس 0.5
<s>,گو 0.003436426116838488
هجری,چشیده 1.0
جا,روا 0.07142857142857142
<s>,گل 0.003436426116838488
جانم,سر 0.5
مروت,برنیامد 1.0
آ,</s> 1.0
حافظ,نکته 0.058823529411764705
شریف,با 1.0
آنک,از 0.3333333333333333
فنا,نبشته 0.2
<s>,گفتی 0.003436426116838488
کشانندت,و 0.5
زور,و 1.0
آهوروشی,کبک 1.0
الهیم,ز 1.0
<s>,گر 0.01718213058419244
نکته,دان 0.5
و,باطن 0.007194244604316547
آن,زمان 0.015151515151515152
اعتماد,جان 1.0
را,صنما 0.012345679012345678
و,آسایش 0.007194244604316547
نور,بگیرد 0.14285714285714285
سلطان,من 1.0
قطره,سیر 0.16666666666666666
<s>,بشو 0.003436426116838488
<s>,تا 0.010309278350515464
که,ای 0.007142857142857143
گله,ای 1.0
چه,ترسد 0.02040816326530612
میلاد,پیش 1.0
درون,خلوت 0.3333333333333333
در,جست 0.014705882352941176
آز,از 1.0
و,خوشخوانی 0.007194244604316547
درآید,که 1.0
تک,صلصل 1.0
اگر,جمع 0.07692307692307693
شود,یا 0.05263157894736842
به,هنجار 0.011904761904761904
حافظ,تایبم 0.058823529411764705
تدبیر,بود 1.0
عار,می 1.0
لحظه,شکر 1.0
به,وام 0.011904761904761904
دل,ما 0.034482758620689655
مستم,من 0.5
کردم,و 0.5
آن,سوراخ 0.015151515151515152
نداند,راه 1.0
از,تو 0.043010752688172046
کودک,از 1.0
کش,هست 0.5
چه,حال 0.02040816326530612
مطبخ,دل 0.5
چه,باد 0.02040816326530612
شود,آن 0.10526315789473684
دروغ,آمد 1.0
بسی,پادشایی 0.25
در,مجلس 0.014705882352941176
از,بهر 0.010752688172043012
تو,گریبان 0.01098901098901099
پر,کن 0.3333333333333333
کهن,دستی 1.0
توان,زد 0.6666666666666666
همی,گشت 0.16666666666666666
زنم,</s> 1.0
ناز,را 0.5
جمع,شود 0.14285714285714285
بهلند,و 1.0
بر,کنار 0.020833333333333332
سزاست,</s> 0.5
به,جنگ 0.011904761904761904
یعنی,وقت 0.5
تقلیب,عشق 1.0
مدرسه,احمد 1.0
پختن,هر 1.0
سبب,است 0.5
کو,خبر 0.1111111111111111
برای,پختن 0.3333333333333333
پند,دل 0.5
آسمان,ها 0.25
<s>,گفتم 0.003436426116838488
<s>,نرگس 0.006872852233676976
شامست,شمس 1.0
چو,شطرنج 0.03333333333333333
کج,گوش 1.0
را,زلفت 0.012345679012345678
اگر,چه 0.15384615384615385
خورشید,جوی 0.16666666666666666
دل,من 0.2413793103448276
بر,</s> 0.020833333333333332
بلبل,دستان 0.5
های,مستی 0.2
که,خام 0.007142857142857143
برو,تو 0.16666666666666666
رسیده,بهر 1.0
بازار,او 1.0
ذره,مثال 0.3333333333333333
هزار,زهره 0.16666666666666666
وقت,را 0.2
پای,خویش 0.3333333333333333
یاران,را 0.25
پیراهنش,بدریده 1.0
اوراد,ما 1.0
دعای,صبحگاهی 1.0
آن,کانتظار 0.015151515151515152
من,پرس 0.015625
ز,رنگ 0.017543859649122806
و,گیرد 0.007194244604316547
دل,دانم 0.034482758620689655
چون,آید 0.043478260869565216
گوشه,دستار 0.3333333333333333
آنست,که 1.0
بر,امین 0.020833333333333332
شب,آمد 0.25
<s>,یوسف 0.003436426116838488
عجب,بینم 0.3333333333333333
نبود,هیچ 0.3333333333333333
عالم,شود 0.5
بودی,خویش 0.5
تویی,رمه 0.16666666666666666
لبی,</s> 1.0
شود,چون 0.05263157894736842
